Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-03-04T20:59:59+11:00,"Wednesday, 3 Mar 2021","Thursday, 4 Mar 2021",3/03/2021 21:30,4/03/2021 7:24,9:54:00,0:30:00,0:00:00,1,9:24:00,8:28:08,94.9,99,7:37:20,7:24:36,0:30:29,2:39:57,69.6,58.8,89.8,77.7,66,57.1,60,75
2021-03-05T20:59:59+11:00,"Thursday, 4 Mar 2021","Friday, 5 Mar 2021",4/03/2021 21:15,5/03/2021 6:55,9:40:00,0:00:00,0:00:00,1,9:40:00,8:41:00,100,99,9:09:10,7:41:31,5:20:32,2:59:29,61.1,59.8,76.5,78.1,57,57.7,48,66
2021-03-06T20:59:59+11:00,"Friday, 5 Mar 2021","Saturday, 6 Mar 2021",5/03/2021 21:30,6/03/2021 5:52,9:04:59,0:00:00,0:00:00,3,9:04:59,8:39:51,100,99,7:48:48,7:39:16,3:32:58,3:07:58,55.4,59.7,77.3,76.8,54,57,68,62
2021-03-07T20:59:59+11:00,"Saturday, 6 Mar 2021","Sunday, 7 Mar 2021",6/03/2021 21:31,7/03/2021 6:22,8:51:00,0:00:00,0:00:00,1,8:51:00,8:43:08,100,99,7:37:06,7:41:48,2:16:33,3:09:53,55.7,58.5,,,54,55.9,117,72
2021-03-09T20:59:59+11:00,"Monday, 8 Mar 2021","Tuesday, 9 Mar 2021",8/03/2021 21:30,9/03/2021 5:50,8:20:00,0:00:00,0:00:00,1,8:20:00,8:41:59,100,99,7:22:27,7:42:59,2:46:40,3:13:54,55.4,58.7,74.5,76.7,60,56.9,176,89
2021-03-10T20:59:59+11:00,"Tuesday, 9 Mar 2021","Wednesday, 10 Mar 2021",9/03/2021 21:16,10/03/2021 5:47,8:31:00,0:00:00,0:00:00,1,8:31:00,8:49:08,100,99.3,7:26:21,7:44:28,2:30:18,2:58:03,54.7,58.3,77.1,76.8,53,56.7,76,88
2021-03-11T20:59:59+11:00,"Wednesday, 10 Mar 2021","Thursday, 11 Mar 2021",10/03/2021 21:17,11/03/2021 6:06,8:49:00,0:31:00,0:00:00,1,8:18:00,8:52:42,94.1,98.4,7:26:32,7:46:49,3:01:05,2:51:13,58,58.5,75.5,77.6,58,57.4,77,89
2021-03-12T20:59:59+11:00,"Thursday, 11 Mar 2021","Friday, 12 Mar 2021",11/03/2021 21:30,12/03/2021 5:49,8:19:00,0:00:00,0:00:00,1,8:19:00,8:43:25,100,99.2,7:05:39,7:42:18,2:16:05,3:06:18,57.3,56.8,75.3,75.5,55,55.9,107,96
2021-03-13T20:59:59+11:00,"Friday, 12 Mar 2021","Saturday, 13 Mar 2021",12/03/2021 21:45,13/03/2021 6:53,9:08:00,0:00:00,0:00:00,1,9:08:00,8:38:51,100,99.2,8:06:28,7:33:20,3:17:53,2:48:47,57.2,56.2,76.3,75.5,56,55.7,85,101
2021-03-14T20:59:59+11:00,"Saturday, 13 Mar 2021","Sunday, 14 Mar 2021",13/03/2021 22:30,14/03/2021 7:29,8:59:00,0:00:00,0:00:00,1,8:59:00,8:38:00,100,99.2,7:41:25,7:32:17,2:03:12,2:35:58,65,57.6,77.6,75.5,61,56.7,47,98
